Region,Constituency_Name,Candidate,Gender,Party,Party_Abbreviation,Party_Abbreviation_v2,Seat,Result,Count_1,Count_2,Count_3,Count_4,Count_5,Count_6,Count_7,Count_8,Count_9,Count_10,Count_11,Count_12,Count_13,Count_14,Count_15,Count_16,Total_Votes
Leinster,Carlow Kilkenny,Adrienne Wallace,F,Anti-Austerity Alliance,Others,AAA-PBP,0,Excluded,1582,1728,1769,2342,0,0,0,0,0,0,0,0,0,0,0,0,0
Leinster,Carlow Kilkenny,Ann Phelan,F,The Labour Party,LAB.,LAB.,0,Excluded,4391,4396,4442,4465,4548,4740,5566,5596,0,0,0,0,0,0,0,0,0
Leinster,Carlow Kilkenny,Bobby Aylward,M,Fianna Fáil,F.F.,F.F.,1,Elected,9366,9375,9469,9491,9549,9803,9956,10030,10634,11077,11335,0,0,0,0,0,11335
Leinster,Carlow Kilkenny,Conor Mac Liam,M,Anti-Austerity Alliance,Others,AAA-PBP,0,Excluded,1120,1179,1231,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leinster,Carlow Kilkenny,David Fitzgerald,M,Fine Gael,F.G.,F.G.,0,Excluded,5017,5021,5094,5106,5122,5355,5686,5721,6588,0,0,0,0,0,0,0,0
Leinster,Carlow Kilkenny,Jennifer Murnane-O'Connor,F,Fianna Fáil,F.F.,F.F.,0,Excluded,8373,8436,8502,8540,8745,8919,9023,9049,9371,9459,9518,0,0,0,0,0,0
Leinster,Carlow Kilkenny,John McGuinness,M,Fianna Fáil,F.F.,F.F.,1,Elected,10528,10545,10823,10886,10965,11490,11903,11669,11669,11669,11669,0,0,0,0,0,11669
Leinster,Carlow Kilkenny,John Paul Phelan,M,Fine Gael,F.G.,F.G.,1,Elected,7568,7577,7689,7713,7768,8080,8420,8450,10222,14200,11669,0,0,0,0,0,11669
Leinster,Carlow Kilkenny,Kathleen Funchion,F,Sinn Féin,S.F.,S.F.,1,Elected,8700,8838,8891,9094,9856,10228,10934,10970,11516,11720,11720,0,0,0,0,0,11720
Leinster,Carlow Kilkenny,Keith Martin Gilligan,M,Non-Party,Others,NON-P.,0,Excluded,456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leinster,Carlow Kilkenny,Malcolm Noonan,M,Green Party,G.P.,G.P.,0,Excluded,2621,2655,2717,2816,3208,3660,0,0,0,0,0,0,0,0,0,0,0
Leinster,Carlow Kilkenny,Noel G. Walsh,M,Non-Party,Others,NON-P.,0,Excluded,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leinster,Carlow Kilkenny,Paddy Manning,M,Non-Party,Others,NON-P.,0,Excluded,1078,1142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leinster,Carlow Kilkenny,Pat Deering,M,Fine Gael,F.G.,F.G.,1,Elected,6562,6580,6606,6623,6693,6829,6937,6940,7675,8935,11149,0,0,0,0,0,11149
Leinster,Carlow Kilkenny,Patrick McKee,M,Renua Ireland,Others,R.I.,0,Excluded,2483,2511,2656,2752,3005,0,0,0,0,0,0,0,0,0,0,0,0
Ulster,Cavan Monaghan,Aoife O'Connell,F,Direct Democracy,Others,D.D.I.,0,Excluded,279,282,292,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ulster,Cavan Monaghan,Brendan Smith,M,Fianna Fáil,F.F.,F.F.,1,Elected,8775,8802,8807,8850,8952,9046,9142,10926,11357,12120,0,0,0,0,0,0,12120
Ulster,Cavan Monaghan,Caoimhghín Ó Caoláin,M,Sinn Féin,S.F.,S.F.,1,Elected,10060,10104,10119,10265,10415,10651,11047,11867,17182,11931,0,0,0,0,0,0,11931
Ulster,Cavan Monaghan,Emmett Smith,M,Non-Party,Others,NON-P.,0,Excluded,245,246,258,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ulster,Cavan Monaghan,Heather Humphreys,F,Fine Gael,F.G.,F.G.,1,Elected,12391,11931,11931,11931,11931,11931,11931,11931,11931,11931,0,0,0,0,0,0,11931
Ulster,Cavan Monaghan,James Mee,M,Non-Party,Others,NON-P.,0,Excluded,88,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ulster,Cavan Monaghan,Joe O'Reilly,M,Fine Gael,F.G.,F.G.,0,Excluded,6566,6846,6848,6887,6977,7255,7715,8063,8321,8790,0,0,0,0,0,0,0
Ulster,Cavan Monaghan,John Wilson,M,Non-Party,Others,NON-P.,0,Excluded,1023,1029,1036,1171,0,0,0,0,0,0,0,0,0,0,0,0,0
Ulster,Cavan Monaghan,Kathryn Reilly,F,Sinn Féin,S.F.,S.F.,0,Excluded,6066,6073,6078,6268,6419,6599,6737,6993,0,0,0,0,0,0,0,0,0
Ulster,Cavan Monaghan,Mary Smyth,F,Non-Party,Others,NON-P.,0,Excluded,1589,1600,1609,1709,1911,2062,2340,0,0,0,0,0,0,0,0,0,0
Ulster,Cavan Monaghan,Michael McDermott,M,Direct Democracy,Others,D.D.I.,0,Excluded,475,476,479,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ulster,Cavan Monaghan,Micheal Callaghan,M,Green Party,G.P.,G.P.,0,Excluded,1251,1262,1269,1410,1523,0,0,0,0,0,0,0,0,0,0,0,0
Ulster,Cavan Monaghan,Mike Durkan,M,Fianna Fáil,F.F.,F.F.,0,Excluded,2909,2927,2931,2941,2977,3062,3246,0,0,0,0,0,0,0,0,0,0
Ulster,Cavan Monaghan,Niamh Smyth,F,Fianna Fáil,F.F.,F.F.,1,Elected,6268,6296,6297,6342,6455,6584,6742,8216,8762,9644,0,0,0,0,0,0,9644
Ulster,Cavan Monaghan,Sean Conlan,M,Non-Party,Others,NON-P.,0,Excluded,1665,1686,1688,1754,1853,1980,0,0,0,0,0,0,0,0,0,0,0
Munster,Clare,Andres Siro Hakizimana,M,Non-Party,Others,NON-P.,0,Excluded,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Munster,Clare,Ann Norton,F,Non-Party,Others,NON-P.,0,Excluded,2240,2321,2442,2521,2686,2982,3152,3205,0,0,0,0,0,0,0,0,0
Munster,Clare,Clare Colleran-Molloy,F,Fianna Fáil,F.F.,F.F.,0,Excluded,2639,2673,2697,2716,2824,2880,0,0,0,0,0,0,0,0,0,0,0
Munster,Clare,Dermot Mulqueen,M,Non-Party,Others,NON-P.,0,Excluded,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Munster,Clare,Fergal Smith,M,Green Party,G.P.,G.P.,0,Excluded,1700,1764,2092,2144,2193,0,0,0,0,0,0,0,0,0,0,0,0
Munster,Clare,Ian Lynch,M,Non-Party,Others,NON-P.,0,Excluded,1494,1535,1575,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Munster,Clare,Joe Carey,M,Fine Gael,F.G.,F.G.,1,Elected,6071,6115,6148,6195,6778,6894,7032,7062,7422,7535,7931,9915,0,0,0,0,9915
Munster,Clare,Mary Howard,F,Fine Gael,F.G.,F.G.,0,Excluded,2053,2076,2098,2119,0,0,0,0,0,0,0,0,0,0,0,0,0
Munster,Clare,Michael Harty,M,Non-Party,Others,NON-P.,1,Elected,8629,8812,8978,9605,9840,10360,10688,10843,11962,11401,11401,11401,0,0,0,0,11401
Munster,Clare,Michael Malty McDonagh,M,Fianna Fáil,F.F.,F.F.,0,Excluded,4726,4749,4764,4954,4997,5056,5497,5887,6139,6229,6929,7762,0,0,0,0,0
Munster,Clare,Michael McNamara,M,The Labour Party,LAB.,LAB.,0,Excluded,4472,4516,4587,4672,4896,5347,5498,5569,5955,6090,6844,0,0,0,0,0,0
Munster,Clare,Niamh O'Brien,F,Fís Nua,Others,F.N.,0,Excluded,1154,1216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Munster,Clare,Noeleen Moran,F,Sinn Féin,S.F.,S.F.,0,Excluded,4216,4277,4519,4611,4664,4957,5058,5083,5473,5601,0,0,0,0,0,0,0
Munster,Clare,Pat Breen,M,Fine Gael,F.G.,F.G.,1,Elected,6583,6621,6640,6857,7337,7420,7512,7537,7815,7910,8292,10088,0,0,0,0,10088
Munster,Clare,Richard Cahill,M,Non-Party,Others,NON-P.,0,Excluded,699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
