Region,Constituency_Name,Candidate,Gender,Party,Party_Abbreviation,Party_Abbreviation_v2,Result,Count_Number,Non_Transferable,Occurred_On_Count,Required_To_Reach_Quota,Required_To_Save_Deposit,Transfers,Count_1,Count_2,Count_3,Count_4,Count_5,Count_6,Count_7,Count_8,Count_9,Count_10,Count_11,Count_12,Count_13,Count_14,Count_15,Count_16,Total_Votes,first_pref_percentage
Leinster,Carlow Kilkenny,Bobby Aylward,M,Fianna Fáil,F.F.,F.F.,Elected,1,0,0,2303,0,0,9366,9,94,22,58,254,153,604,443,258,,,,,,,11261,0.73
Leinster,Carlow Kilkenny,John McGuinness,M,Fianna Fáil,F.F.,F.F.,Elected,1,0,0,1141,0,0,10528,17,278,63,79,525,413,0,0,0,,,,,,,11903,0.82
Leinster,Carlow Kilkenny,John Paul Phelan,M,Fine Gael,F.G.,F.G.,Elected,1,0,0,4101,0,0,7568,9,112,24,55,312,340,1772,3978,,,,,,,,14170,0.59
Leinster,Carlow Kilkenny,Kathleen Funchion,F,Sinn Féin,S.F.,S.F.,Elected,1,0,0,2969,0,0,8700,138,53,203,762,372,706,546,204,0,,,,,,,11684,0.68
Leinster,Carlow Kilkenny,Pat Deering,M,Fine Gael,F.G.,F.G.,Elected,1,0,0,5107,0,0,6562,18,26,17,70,136,108,735,1260,2214,,,,,,,11146,0.51
Ulster,Cavan Monaghan,Brendan Smith,M,Fianna Fáil,F.F.,F.F.,Elected,1,0,0,3156,0,0,8775,27,5,43,102,94,96,431,763,,,,,,,,10336,0.69
Ulster,Cavan Monaghan,Caoimhghín Ó Caoláin,M,Sinn Féin,S.F.,S.F.,Elected,1,0,0,1871,0,0,10060,44,15,146,150,236,396,5315,,,,,,,,,16362,0.79
Ulster,Cavan Monaghan,Heather Humphreys,F,Fine Gael,F.G.,F.G.,Elected,1,0,1,0,0,0,12391,,,,,,,,,,,,,,,,12391,0.97
Ulster,Cavan Monaghan,Niamh Smyth,F,Fianna Fáil,F.F.,F.F.,Elected,1,0,0,5663,0,0,6268,28,1,45,113,129,158,546,882,,,,,,,,8170,0.49
Munster,Clare,Joe Carey,M,Fine Gael,F.G.,F.G.,Elected,1,0,0,5330,0,0,6071,44,33,47,583,116,138,360,113,396,1984,,,,,,9885,0.47
