Constituency_Name,Candidate,Gender,Party,Party_Abbreviation,Party_Abbreviation_v2,Result,Count_Number,Non_Transferable,Occurred_On_Count,Required_To_Reach_Quota,Required_To_Save_Deposit,Transfers,Count_1,Count_2,Count_3,Count_4,Count_5,Count_6,Count_7,Count_8,Count_9,Count_10,Count_11,Count_12,Count_13,Count_14,Count_15,Count_16,Votes,Total_Votes
Carlow Kilkenny,Adrienne Wallace,F,Anti-Austerity Alliance,Others,AAA-PBP,Excluded,1,0,0,10087,1336,0,1582,1728,1769,2342,0,0,0,0,0,0,0,0,0,0,0,0,1582,1582
Carlow Kilkenny,Ann Phelan,F,The Labour Party,LAB.,LAB.,Excluded,1,0,0,7278,0,0,4391,4396,4442,4465,4548,4740,5566,5596,0,0,0,0,0,0,0,0,4391,4391
Carlow Kilkenny,Bobby Aylward,M,Fianna Fáil,F.F.,F.F.,Elected,1,0,0,2303,0,0,9366,9375,9469,9491,9549,9803,9956,10030,10634,11077,11335,0,0,0,0,0,9366,9366
Carlow Kilkenny,Conor Mac Liam,M,Anti-Austerity Alliance,Others,AAA-PBP,Excluded,1,0,0,10549,1798,0,1120,1179,1231,0,0,0,0,0,0,0,0,0,0,0,0,0,1120,1120
Carlow Kilkenny,David Fitzgerald,M,Fine Gael,F.G.,F.G.,Excluded,1,0,0,6652,0,0,5017,5021,5094,5106,5122,5355,5686,5721,6588,0,0,0,0,0,0,0,5017,5017
Carlow Kilkenny,Jennifer Murnane-O'Connor,F,Fianna Fáil,F.F.,F.F.,Excluded,1,0,0,3296,0,0,8373,8436,8502,8540,8745,8919,9023,9049,9371,9459,9518,0,0,0,0,0,8373,8373
Carlow Kilkenny,John McGuinness,M,Fianna Fáil,F.F.,F.F.,Elected,1,0,0,1141,0,0,10528,10545,10823,10886,10965,11490,11903,11669,11669,11669,11669,0,0,0,0,0,10528,10528
Carlow Kilkenny,John Paul Phelan,M,Fine Gael,F.G.,F.G.,Elected,1,0,0,4101,0,0,7568,7577,7689,7713,7768,8080,8420,8450,10222,14200,11669,0,0,0,0,0,7568,7568
Carlow Kilkenny,Kathleen Funchion,F,Sinn Féin,S.F.,S.F.,Elected,1,0,0,2969,0,0,8700,8838,8891,9094,9856,10228,10934,10970,11516,11720,11720,0,0,0,0,0,8700,8700
Carlow Kilkenny,Keith Martin Gilligan,M,Non-Party,Others,NON-P.,Excluded,1,0,0,11213,2462,0,456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,456,456
Carlow Kilkenny,Malcolm Noonan,M,Green Party,G.P.,G.P.,Excluded,1,0,0,9048,297,0,2621,2655,2717,2816,3208,3660,0,0,0,0,0,0,0,0,0,0,2621,2621
Carlow Kilkenny,Noel G. Walsh,M,Non-Party,Others,NON-P.,Excluded,1,0,0,11505,2754,0,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164,164
Carlow Kilkenny,Paddy Manning,M,Non-Party,Others,NON-P.,Excluded,1,0,0,10591,1840,0,1078,1142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1078,1078
Carlow Kilkenny,Pat Deering,M,Fine Gael,F.G.,F.G.,Elected,1,0,0,5107,0,0,6562,6580,6606,6623,6693,6829,6937,6940,7675,8935,11149,0,0,0,0,0,6562,6562
Carlow Kilkenny,Patrick McKee,M,Renua Ireland,Others,R.I.,Excluded,1,0,0,9186,435,0,2483,2511,2656,2752,3005,0,0,0,0,0,0,0,0,0,0,0,2483,2483
Cavan Monaghan,Aoife O'Connell,F,Direct Democracy,Others,D.D.I.,Excluded,1,0,0,11652,2704,0,279,282,292,0,0,0,0,0,0,0,0,0,0,0,0,0,279,279
Cavan Monaghan,Brendan Smith,M,Fianna Fáil,F.F.,F.F.,Elected,1,0,0,3156,0,0,8775,8802,8807,8850,8952,9046,9142,10926,11357,12120,0,0,0,0,0,0,8775,8775
Cavan Monaghan,Caoimhghín Ó Caoláin,M,Sinn Féin,S.F.,S.F.,Elected,1,0,0,1871,0,0,10060,10104,10119,10265,10415,10651,11047,11867,17182,11931,0,0,0,0,0,0,10060,10060
Cavan Monaghan,Emmett Smith,M,Non-Party,Others,NON-P.,Excluded,1,0,0,11686,2738,0,245,246,258,0,0,0,0,0,0,0,0,0,0,0,0,0,245,245
Cavan Monaghan,Heather Humphreys,F,Fine Gael,F.G.,F.G.,Elected,1,0,1,0,0,0,12391,11931,11931,11931,11931,11931,11931,11931,11931,11931,0,0,0,0,0,0,12391,12391
Cavan Monaghan,James Mee,M,Non-Party,Others,NON-P.,Excluded,1,0,0,11843,2895,0,88,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,88
Cavan Monaghan,Joe O'Reilly,M,Fine Gael,F.G.,F.G.,Excluded,1,0,0,5365,0,0,6566,6846,6848,6887,6977,7255,7715,8063,8321,8790,0,0,0,0,0,0,6566,6566
Cavan Monaghan,John Wilson,M,Non-Party,Others,NON-P.,Excluded,1,0,0,10908,1960,0,1023,1029,1036,1171,0,0,0,0,0,0,0,0,0,0,0,0,1023,1023
Cavan Monaghan,Kathryn Reilly,F,Sinn Féin,S.F.,S.F.,Excluded,1,0,0,5865,0,0,6066,6073,6078,6268,6419,6599,6737,6993,0,0,0,0,0,0,0,0,6066,6066
Cavan Monaghan,Mary Smyth,F,Non-Party,Others,NON-P.,Excluded,1,0,0,10342,1394,0,1589,1600,1609,1709,1911,2062,2340,0,0,0,0,0,0,0,0,0,1589,1589
Cavan Monaghan,Michael McDermott,M,Direct Democracy,Others,D.D.I.,Excluded,1,0,0,11456,2508,0,475,476,479,0,0,0,0,0,0,0,0,0,0,0,0,0,475,475
Cavan Monaghan,Micheal Callaghan,M,Green Party,G.P.,G.P.,Excluded,1,0,0,10680,1732,0,1251,1262,1269,1410,1523,0,0,0,0,0,0,0,0,0,0,0,1251,1251
Cavan Monaghan,Mike Durkan,M,Fianna Fáil,F.F.,F.F.,Excluded,1,0,0,9022,74,0,2909,2927,2931,2941,2977,3062,3246,0,0,0,0,0,0,0,0,0,2909,2909
Cavan Monaghan,Niamh Smyth,F,Fianna Fáil,F.F.,F.F.,Elected,1,0,0,5663,0,0,6268,6296,6297,6342,6455,6584,6742,8216,8762,9644,0,0,0,0,0,0,6268,6268
Cavan Monaghan,Sean Conlan,M,Non-Party,Others,NON-P.,Excluded,1,0,0,10266,1318,0,1665,1686,1688,1754,1853,1980,0,0,0,0,0,0,0,0,0,0,1665,1665
Clare,Andres Siro Hakizimana,M,Non-Party,Others,NON-P.,Excluded,1,0,0,11331,2781,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,70
Clare,Ann Norton,F,Non-Party,Others,NON-P.,Excluded,1,0,0,9161,611,0,2240,2321,2442,2521,2686,2982,3152,3205,0,0,0,0,0,0,0,0,2240,2240
Clare,Clare Colleran-Molloy,F,Fianna Fáil,F.F.,F.F.,Excluded,1,0,0,8762,212,0,2639,2673,2697,2716,2824,2880,0,0,0,0,0,0,0,0,0,0,2639,2639
Clare,Dermot Mulqueen,M,Non-Party,Others,NON-P.,Excluded,1,0,0,11362,2812,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,39
Clare,Fergal Smith,M,Green Party,G.P.,G.P.,Excluded,1,0,0,9701,1151,0,1700,1764,2092,2144,2193,0,0,0,0,0,0,0,0,0,0,0,1700,1700
